zone_name,district_name,sale_eur_m2,rent_eur_m2,source,notes
MONTOLIVET,QUATRE CARRERES,1886.0,8.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
EN CORTS,QUATRE CARRERES,1950.0,8.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
MALILLA,QUATRE CARRERES,1999.0,8.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA FONTETA S.LLUIS,QUATRE CARRERES,1370.0,8.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
NA ROVELLA,QUATRE CARRERES,1501.0,8.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA PUNTA,QUATRE CARRERES,1967.0,9.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
CIUTAT DE LES ARTS I DE LES CIENCIES,QUATRE CARRERES,2638.0,9.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA SEU,CIUTAT VELLA,3545.0,13.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
EL GRAU,POBLATS MARITIMS,1969.0,10.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
CABANYAL-CANYAMELAR,POBLATS MARITIMS,2094.0,11.5,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA MALVA-ROSA,POBLATS MARITIMS,1820.0,9.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
BETERO,POBLATS MARITIMS,2099.0,11.5,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
NATZARET,POBLATS MARITIMS,1161.0,10.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA XEREA,CIUTAT VELLA,3393.0,11.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
AIORA,CAMINS AL GRAU,1894.0,9.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
ALBORS,CAMINS AL GRAU,1864.0,9.3,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA CREU DEL GRAU,CAMINS AL GRAU,1856.0,9.3,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
CAMI FONDO,CAMINS AL GRAU,1893.0,10.3,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
PENYA-ROJA,CAMINS AL GRAU,3429.0,9.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
EL CARME,CIUTAT VELLA,2577.0,11.5,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
L'ILLA PERDUDA,ALGIROS,2094.0,9.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
CIUTAT JARDI,ALGIROS,2118.0,9.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
L'AMISTAT,ALGIROS,1946.0,9.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA VEGA BAIXA,ALGIROS,2221.0,9.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA CARRASCA,ALGIROS,2566.0,9.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
EL PILAR,CIUTAT VELLA,2533.0,10.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
BENIMACLET,BENIMACLET,2039.0,8.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
CAMI DE VERA,BENIMACLET,2068.0,8.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
EL MERCAT,CIUTAT VELLA,2757.0,12.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
ELS ORRIOLS,RASCANYA,1170.0,8.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
TORREFIEL,RASCANYA,1428.0,3.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SANT LLORENS,RASCANYA,2594.0,9.6,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SANT FRANCESC,CIUTAT VELLA,3417.0,12.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
BENICALAP,BENICALAP,1602.0,9.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
CIUTAT FALLERA,BENICALAP,1301.0,8.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
RUSSAFA,L'EIXAMPLE,2738.0,10.6,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
EL PLA DEL REMEI,L'EIXAMPLE,4029.0,11.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA GRAN VIA,L'EIXAMPLE,3237.0,10.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
EL BOTANIC,EXTRAMURS,2410.0,10.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA ROQUETA,EXTRAMURS,3044.0,10.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA PETXINA,EXTRAMURS,2238.0,9.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
ARRANCAPINS,EXTRAMURS,2263.0,8.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
CAMPANAR,CAMPANAR,2304.0,8.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LES TENDETES,CAMPANAR,1626.0,9.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
EL CALVARI,CAMPANAR,1808.0,9.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SANT PAU,CAMPANAR,3032.0,10.3,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
MARXALENES,LA SAIDIA,1877.0,7.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
MORVEDRE,LA SAIDIA,1850.0,7.8,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
TRINITAT,LA SAIDIA,2699.0,8.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
TORMOS,LA SAIDIA,1550.0,8.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SANT ANTONI,LA SAIDIA,1709.0,7.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
EXPOSICIO,EL PLA DEL REAL,3342.0,11.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
MESTALLA,EL PLA DEL REAL,2907.0,9.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
JAUME ROIG,EL PLA DEL REAL,2772.0,9.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
CIUTAT UNIVERSITARIA,EL PLA DEL REAL,2395.0,10.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
NOU MOLES,L'OLIVERETA,1617.0,8.6,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SOTERNES,L'OLIVERETA,1631.0,8.6,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
TRES FORQUES,L'OLIVERETA,1332.0,8.6,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA FONTSANTA,L'OLIVERETA,1103.0,8.6,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA LLUM,L'OLIVERETA,1322.0,8.6,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
PATRAIX,PATRAIX,1918.0,8.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SANT ISIDRE,PATRAIX,1655.0,8.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
VARA DE QUART,PATRAIX,1616.0,7.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SAFRANAR,PATRAIX,1791.0,8.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
FAVARA,PATRAIX,1550.0,8.0,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA RAIOSA,JESUS,1796.0,7.3,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
L'HORT DE SENABRE,JESUS,1474.0,7.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
LA CREU COBERTA,JESUS,1545.0,7.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
SANT MARCEL.LI,JESUS,1441.0,7.3,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
CAMI REAL,JESUS,1261.0,7.9,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia
